date,description,amount,category
2024-04-27,Netflix,75.32,Entertainment
2024-04-27,Trader Joe's,232.27,Groceries
2024-04-27,Gas Provider,269.7,Utilities
2024-04-27,Coursera,860.05,Education
2024-04-28,Walmart,122.52,Groceries
2024-04-28,Monthly Rent,1624.82,Housing
2024-04-28,Marriott,1782.02,Travel
2024-04-28,CVS Pharmacy,522.51,Healthcare
2024-04-28,LabCorp,1246.76,Healthcare
2024-04-28,Walmart,39.66,Groceries
2024-04-28,Electricity Board,182.62,Utilities
2024-04-28,Udemy,372.66,Education
2024-04-29,Comcast,139.62,Utilities
2024-04-29,AMC Theatres,250.37,Entertainment
2024-04-29,Trader Joe's,204.18,Groceries
2024-04-29,Spotify,119.0,Entertainment
2024-04-29,Health Insurance,156.77,Healthcare
2024-04-30,Amazon,691.77,Shopping
2024-04-30,Airbnb,399.38,Travel
2024-04-30,Walmart,212.74,Groceries
2024-04-30,Marriott,10054.27,Travel
2024-04-30,Property Mgmt,2503.19,Housing
2024-04-30,Housing Society,2504.31,Housing
2024-04-30,Starbucks,51.85,Dining
2024-04-30,Electricity Board,204.59,Utilities
2024-04-30,Housing Society,1678.41,Housing
2024-04-30,McDonald's,24.44,Dining
2024-04-30,Whole Foods,161.13,Groceries
2024-04-30,Udemy,1078.54,Education
2024-04-30,Shell,92.59,Transport
2024-04-30,Comcast,104.62,Utilities
2024-04-30,Netflix,109.47,Entertainment
2024-05-01,Delta Airlines,1567.64,Travel
2024-05-01,Airbnb,3253.25,Travel
2024-05-01,Starbucks,37.38,Dining
2024-05-01,Exam Board,1178.28,Education
2024-05-01,AMC Theatres,176.02,Entertainment
2024-05-01,Delta Airlines,2056.55,Travel
2024-05-01,Comcast,82.12,Utilities
2024-05-01,Exam Board,1411.03,Education
2024-05-01,Costco,15.98,Groceries
2024-05-02,Starbucks,117.54,Dining
2024-05-02,Housing Society,1061.35,Housing
2024-05-02,Property Mgmt,2491.39,Housing
2024-05-02,Walmart,154.14,Groceries
2024-05-02,Lyft,53.52,Transport
2024-05-02,AMC Theatres,236.27,Entertainment
2024-05-02,Booking.com,396.52,Travel
2024-05-03,Costco,140.94,Groceries
2024-05-03,Metro Transit,134.78,Transport
2024-05-03,Netflix,36.91,Entertainment
2024-05-03,AMC Theatres,19.11,Entertainment
2024-05-03,Uber,86.21,Transport
2024-05-03,Electricity Board,296.64,Utilities
2024-05-03,Comcast,157.33,Utilities
2024-05-03,Booking.com,2023.76,Travel
2024-05-03,Electricity Board,135.67,Utilities
2024-05-03,Olive Garden,83.78,Dining
2024-05-03,Comcast,258.02,Utilities
2024-05-04,Bookstore,751.52,Education
2024-05-04,Metro Transit,155.3,Transport
2024-05-04,Shell,120.85,Transport
2024-05-04,Walmart,90.86,Groceries
2024-05-04,Property Mgmt,2530.81,Housing
2024-05-04,Spotify,85.46,Entertainment
2024-05-04,Housing Society,2599.27,Housing
2024-05-04,Marriott,3333.72,Travel
2024-05-05,Airbnb,2837.17,Travel
2024-05-05,Whole Foods,105.71,Groceries
2024-05-05,Uber,171.26,Transport
2024-05-05,Housing Society,1979.46,Housing
2024-05-05,Trader Joe's,200.29,Groceries
2024-05-05,Coursera,2953.36,Education
2024-05-05,Netflix,227.58,Entertainment
2024-05-05,Amazon,360.81,Shopping
2024-05-05,Lyft,59.07,Transport
2024-05-05,Marriott,317.53,Travel
2024-05-05,Water Utility,107.86,Utilities
2024-05-05,Trader Joe's,236.83,Groceries
2024-05-05,Exam Board,812.77,Education
2024-05-06,Best Buy,351.63,Shopping
2024-05-06,Lyft,158.53,Transport
2024-05-06,Whole Foods,186.38,Groceries
2024-05-06,Water Utility,76.68,Utilities
2024-05-06,Macy's,721.7,Shopping
2024-05-06,Spotify,48.71,Entertainment
2024-05-06,Target,383.85,Shopping
2024-05-06,Comcast,280.08,Utilities
2024-05-06,Macy's,472.05,Shopping
2024-05-06,Netflix,176.51,Entertainment
2024-05-06,Booking.com,3309.39,Travel
2024-05-06,Exam Board,971.52,Education
2024-05-06,CVS Pharmacy,1036.98,Healthcare
2024-05-06,Best Buy,755.54,Shopping
2024-05-06,Coursera,1545.65,Education
2024-05-06,Marriott,2523.08,Travel
2024-05-07,Uber,124.4,Transport
2024-05-07,McDonald's,47.68,Dining
2024-05-07,City Clinic,908.65,Healthcare
2024-05-07,Exam Board,1322.77,Education
2024-05-07,Booking.com,3313.57,Travel
2024-05-07,CVS Pharmacy,192.7,Healthcare
2024-05-07,Lyft,130.3,Transport
2024-05-08,City Clinic,168.13,Healthcare
2024-05-08,Trader Joe's,242.12,Groceries
2024-05-08,Best Buy,518.37,Shopping
2024-05-08,Starbucks,47.84,Dining
2024-05-08,Electricity Board,282.71,Utilities
2024-05-08,Property Mgmt,911.75,Housing
2024-05-08,Exam Board,351.44,Education
2024-05-08,Health Insurance,1293.27,Healthcare
2024-05-09,Water Utility,87.44,Utilities
2024-05-09,Steam,93.86,Entertainment
2024-05-09,Steam,19.07,Entertainment
2024-05-09,Amazon,455.21,Shopping
2024-05-09,Booking.com,3471.62,Travel
2024-05-09,Steam,175.97,Entertainment
2024-05-09,Coursera,212.23,Education
2024-05-09,Amazon,764.69,Shopping
2024-05-09,Marriott,3144.33,Travel
2024-05-09,LabCorp,1059.01,Healthcare
2024-05-10,Delta Airlines,936.34,Travel
2024-05-10,City Clinic,292.06,Healthcare
2024-05-10,CVS Pharmacy,116.5,Healthcare
2024-05-10,Uber,145.56,Transport
2024-05-10,Uber,118.19,Transport
2024-05-10,CVS Pharmacy,554.64,Healthcare
2024-05-10,Bookstore,626.94,Education
2024-05-10,Starbucks,15.03,Dining
2024-05-10,Trader Joe's,52.47,Groceries
2024-05-10,Electricity Board,111.29,Utilities
2024-05-10,Coursera,949.64,Education
2024-05-10,Booking.com,1789.36,Travel
2024-05-11,Coursera,1310.71,Education
2024-05-11,Whole Foods,139.63,Groceries
2024-05-11,McDonald's,129.25,Dining
2024-05-11,Water Utility,208.12,Utilities
2024-05-11,Property Mgmt,1176.24,Housing
2024-05-11,Macy's,617.72,Shopping
2024-05-12,Starbucks,101.99,Dining
2024-05-12,Walmart,46.81,Groceries
2024-05-12,Monthly Rent,1204.62,Housing
2024-05-12,Udemy,390.73,Education
2024-05-12,Trader Joe's,116.14,Groceries
2024-05-12,Uber,159.42,Transport
2024-05-12,Electricity Board,214.79,Utilities
2024-05-12,Best Buy,683.46,Shopping
2024-05-12,Netflix,202.64,Entertainment
2024-05-12,CVS Pharmacy,1031.48,Healthcare
2024-05-12,Macy's,415.22,Shopping
2024-05-12,Amazon,748.61,Shopping
2024-05-12,Walmart,109.36,Groceries
2024-05-12,Steam,140.24,Entertainment
2024-05-13,Amazon,564.03,Shopping
2024-05-13,Housing Society,2455.9,Housing
2024-05-13,Olive Garden,118.04,Dining
2024-05-13,Spotify,37.04,Entertainment
2024-05-13,Metro Transit,167.91,Transport
2024-05-13,Uber,179.87,Transport
2024-05-13,Gas Provider,127.23,Utilities
2024-05-13,Booking.com,2963.17,Travel
2024-05-13,City Clinic,1216.92,Healthcare
2024-05-13,Macy's,393.13,Shopping
2024-05-13,Best Buy,519.66,Shopping
2024-05-13,Housing Society,1936.12,Housing
2024-05-14,Water Utility,115.12,Utilities
2024-05-14,Housing Society,1700.66,Housing
2024-05-14,Starbucks,153.76,Dining
2024-05-14,Gas Provider,47.72,Utilities
2024-05-14,Water Utility,69.01,Utilities
2024-05-14,Bookstore,916.41,Education
2024-05-15,Costco,216.07,Groceries
2024-05-15,Olive Garden,21.39,Dining
2024-05-15,Walmart,24.86,Groceries
2024-05-15,Trader Joe's,189.39,Groceries
2024-05-15,Costco,58.44,Groceries
2024-05-15,LabCorp,149.17,Healthcare
2024-05-15,Uber,57.89,Transport
2024-05-15,Whole Foods,85.45,Groceries
2024-05-15,Netflix,24.88,Entertainment
2024-05-15,Gas Provider,90.47,Utilities
2024-05-15,Electricity Board,138.32,Utilities
2024-05-16,Lyft,63.08,Transport
2024-05-16,Gas Provider,40.41,Utilities
2024-05-16,Comcast,194.7,Utilities
2024-05-16,Delta Airlines,407.14,Travel
2024-05-16,City Clinic,97.96,Healthcare
2024-05-16,Monthly Rent,928.2,Housing
2024-05-16,McDonald's,125.02,Dining
2024-05-16,Amazon,1812.23,Shopping
2024-05-16,Metro Transit,312.94,Transport
2024-05-17,Delta Airlines,3498.54,Travel
2024-05-17,Chipotle,140.7,Dining
2024-05-17,Starbucks,132.97,Dining
2024-05-17,Udemy,1159.95,Education
2024-05-17,Walmart,86.33,Groceries
2024-05-17,Lyft,125.87,Transport
2024-05-17,Macy's,578.21,Shopping
2024-05-17,Exam Board,1169.66,Education
2024-05-17,Coursera,359.11,Education
2024-05-17,Uber,29.73,Transport
2024-05-17,Macy's,50.11,Shopping
2024-05-17,Airbnb,720.06,Travel
2024-05-17,Walmart,47.42,Groceries
2024-05-18,Property Mgmt,2421.84,Housing
2024-05-18,Netflix,13.36,Entertainment
2024-05-18,Shell,69.0,Transport
2024-05-18,Comcast,86.61,Utilities
2024-05-18,Lyft,42.69,Transport
2024-05-18,Airbnb,420.99,Travel
2024-05-18,Olive Garden,37.3,Dining
2024-05-18,Netflix,71.44,Entertainment
2024-05-18,CVS Pharmacy,1334.04,Healthcare
2024-05-18,Monthly Rent,1822.3,Housing
2024-05-18,Amazon,216.24,Shopping
2024-05-18,Health Insurance,205.39,Healthcare
2024-05-19,AMC Theatres,174.72,Entertainment
2024-05-19,Electricity Board,52.15,Utilities
2024-05-19,Health Insurance,723.4,Healthcare
2024-05-19,Udemy,7715.39,Education
2024-05-19,LabCorp,414.65,Healthcare
2024-05-19,Marriott,1254.53,Travel
2024-05-19,Starbucks,111.9,Dining
2024-05-20,Olive Garden,31.53,Dining
2024-05-20,McDonald's,148.76,Dining
2024-05-20,Costco,158.86,Groceries
2024-05-20,Property Mgmt,1328.49,Housing
2024-05-20,Property Mgmt,2370.32,Housing
2024-05-20,Starbucks,166.47,Dining
2024-05-20,Starbucks,107.08,Dining
2024-05-20,Amazon,700.97,Shopping
2024-05-20,Shell,116.16,Transport
2024-05-20,Shell,169.81,Transport
2024-05-21,Coursera,1752.35,Education
2024-05-21,Lyft,130.5,Transport
2024-05-21,Udemy,369.03,Education
2024-05-21,Metro Transit,63.82,Transport
2024-05-21,Marriott,783.94,Travel
2024-05-21,Chipotle,125.84,Dining
2024-05-21,LabCorp,1051.95,Healthcare
2024-05-21,Gas Provider,291.28,Utilities
2024-05-21,Airbnb,896.58,Travel
2024-05-21,Uber,175.81,Transport
2024-05-21,Whole Foods,118.35,Groceries
2024-05-21,AMC Theatres,35.15,Entertainment
2024-05-21,Macy's,763.11,Shopping
2024-05-21,Amazon,367.5,Shopping
2024-05-21,Property Mgmt,1205.67,Housing
2024-05-22,Starbucks,54.39,Dining
2024-05-22,Water Utility,258.85,Utilities
2024-05-22,Starbucks,112.34,Dining
2024-05-22,Electricity Board,104.66,Utilities
2024-05-22,Monthly Rent,2324.79,Housing
2024-05-22,Chipotle,94.36,Dining
2024-05-22,Spotify,81.87,Entertainment
2024-05-22,Amazon,709.37,Shopping
2024-05-22,City Clinic,29.82,Healthcare
2024-05-22,Uber,121.53,Transport
2024-05-22,Macy's,554.74,Shopping
2024-05-23,Spotify,97.42,Entertainment
2024-05-23,Housing Society,1159.12,Housing
2024-05-23,Best Buy,786.86,Shopping
2024-05-23,Electricity Board,206.54,Utilities
2024-05-23,Property Mgmt,947.17,Housing
2024-05-23,Monthly Rent,1997.44,Housing
2024-05-23,Netflix,15.72,Entertainment
2024-05-23,Netflix,253.08,Entertainment
2024-05-23,Steam,41.76,Entertainment
2024-05-23,Bookstore,1600.74,Education
2024-05-23,McDonald's,149.22,Dining
2024-05-23,Macy's,570.29,Shopping
2024-05-23,Comcast,267.47,Utilities
2024-05-24,Macy's,610.4,Shopping
2024-05-24,Walmart,27.18,Groceries
2024-05-24,CVS Pharmacy,555.58,Healthcare
2024-05-24,Property Mgmt,1713.71,Housing
2024-05-24,Trader Joe's,30.47,Groceries
2024-05-24,Booking.com,3306.27,Travel
2024-05-24,Airbnb,2172.1,Travel
2024-05-24,Macy's,649.89,Shopping
2024-05-24,Lyft,131.87,Transport
2024-05-24,Airbnb,1397.65,Travel
2024-05-24,Airbnb,389.66,Travel
2024-05-25,Macy's,530.16,Shopping
2024-05-25,Amazon,780.74,Shopping
2024-05-25,City Clinic,962.74,Healthcare
2024-05-25,Electricity Board,134.64,Utilities
2024-05-25,Spotify,90.82,Entertainment
2024-05-25,Walmart,79.38,Groceries
2024-05-25,City Clinic,705.23,Healthcare
2024-05-25,Walmart,204.05,Groceries
2024-05-26,Electricity Board,98.22,Utilities
2024-05-26,Chipotle,71.57,Dining
2024-05-26,AMC Theatres,17.23,Entertainment
2024-05-26,Lyft,61.4,Transport
2024-05-26,Lyft,51.43,Transport
2024-05-26,City Clinic,582.31,Healthcare
2024-05-26,Gas Provider,189.84,Utilities
2024-05-26,Lyft,168.76,Transport
2024-05-27,Monthly Rent,1460.67,Housing
2024-05-27,Coursera,1270.45,Education
2024-05-27,Chipotle,78.79,Dining
2024-05-27,Olive Garden,80.23,Dining
2024-05-27,Amazon,290.93,Shopping
2024-05-27,Chipotle,94.87,Dining
2024-05-27,McDonald's,126.83,Dining
2024-05-27,Macy's,564.06,Shopping
2024-05-27,Shell,27.36,Transport
2024-05-27,Starbucks,131.81,Dining
2024-05-27,Shell,13.62,Transport
2024-05-27,Walmart,275.41,Groceries
2024-05-27,Steam,171.94,Entertainment
2024-05-28,Best Buy,573.44,Shopping
2024-05-28,Udemy,602.87,Education
2024-05-28,Water Utility,254.57,Utilities
2024-05-28,Marriott,3445.01,Travel
2024-05-28,CVS Pharmacy,1117.7,Healthcare
2024-05-28,Airbnb,1610.38,Travel
2024-05-28,Trader Joe's,270.39,Groceries
2024-05-28,Health Insurance,831.24,Healthcare
2024-05-28,Spotify,49.21,Entertainment
2024-05-28,Udemy,385.57,Education
2024-05-29,Property Mgmt,2384.86,Housing
2024-05-29,Monthly Rent,2448.68,Housing
2024-05-29,Trader Joe's,140.86,Groceries
2024-05-29,Macy's,90.47,Shopping
2024-05-29,Walmart,228.33,Groceries
2024-05-29,Olive Garden,110.97,Dining
2024-05-29,Costco,189.12,Groceries
2024-05-30,CVS Pharmacy,433.03,Healthcare
2024-05-30,Udemy,790.92,Education
2024-05-30,Macy's,295.27,Shopping
2024-05-30,Target,263.41,Shopping
2024-05-30,Delta Airlines,3049.8,Travel
2024-05-30,Comcast,48.62,Utilities
2024-05-30,Target,327.73,Shopping
2024-05-30,LabCorp,1268.83,Healthcare
2024-05-30,Target,625.39,Shopping
2024-05-30,AMC Theatres,75.83,Entertainment
2024-05-30,Comcast,173.75,Utilities
2024-05-30,Steam,232.13,Entertainment
2024-05-31,Housing Society,1640.09,Housing
2024-05-31,City Clinic,1070.47,Healthcare
2024-05-31,Monthly Rent,1548.32,Housing
2024-05-31,Airbnb,3433.35,Travel
2024-05-31,Shell,159.97,Transport
2024-05-31,Gas Provider,84.12,Utilities
2024-05-31,Starbucks,169.81,Dining
2024-05-31,Trader Joe's,266.58,Groceries
2024-05-31,Udemy,151.91,Education
2024-06-01,Coursera,1720.25,Education
2024-06-01,Housing Society,1263.94,Housing
2024-06-01,Airbnb,3311.11,Travel
2024-06-01,Airbnb,651.21,Travel
2024-06-01,Housing Society,1032.84,Housing
2024-06-01,Airbnb,700.59,Travel
2024-06-02,Chipotle,167.47,Dining
2024-06-02,Exam Board,799.47,Education
2024-06-02,Bookstore,1262.47,Education
2024-06-02,Shell,115.87,Transport
2024-06-02,Lyft,25.26,Transport
2024-06-02,Steam,89.12,Entertainment
2024-06-02,Costco,278.23,Groceries
2024-06-03,Spotify,101.64,Entertainment
2024-06-03,Walmart,66.13,Groceries
2024-06-03,Property Mgmt,1845.45,Housing
2024-06-03,Lyft,105.62,Transport
2024-06-03,Exam Board,226.8,Education
2024-06-03,Gas Provider,119.5,Utilities
2024-06-03,Macy's,441.1,Shopping
2024-06-03,McDonald's,83.4,Dining
2024-06-03,Exam Board,782.97,Education
2024-06-03,CVS Pharmacy,1064.3,Healthcare
2024-06-03,Shell,144.85,Transport
2024-06-03,Electricity Board,71.44,Utilities
2024-06-03,Comcast,293.33,Utilities
2024-06-03,Health Insurance,1150.44,Healthcare
2024-06-03,Delta Airlines,1346.28,Travel
2024-06-03,Marriott,2596.96,Travel
2024-06-04,Property Mgmt,2044.06,Housing
2024-06-04,Monthly Rent,2171.62,Housing
2024-06-04,McDonald's,80.26,Dining
2024-06-04,Steam,93.33,Entertainment
2024-06-04,Target,90.17,Shopping
2024-06-04,Housing Society,2477.73,Housing
2024-06-04,Best Buy,152.18,Shopping
2024-06-04,Comcast,150.73,Utilities
2024-06-04,Booking.com,1526.84,Travel
2024-06-05,Monthly Rent,1198.74,Housing
2024-06-05,Costco,79.64,Groceries
2024-06-05,Bookstore,652.7,Education
2024-06-05,Water Utility,56.4,Utilities
2024-06-05,Best Buy,153.36,Shopping
2024-06-05,AMC Theatres,224.76,Entertainment
2024-06-06,Netflix,229.05,Entertainment
2024-06-06,Shell,26.47,Transport
2024-06-06,Netflix,142.54,Entertainment
2024-06-06,Delta Airlines,553.21,Travel
2024-06-06,Bookstore,1737.4,Education
2024-06-06,Target,678.68,Shopping
2024-06-06,Comcast,170.44,Utilities
2024-06-06,Monthly Rent,1503.98,Housing
2024-06-06,Coursera,1009.25,Education
2024-06-06,Monthly Rent,2139.24,Housing
2024-06-06,LabCorp,2060.86,Healthcare
2024-06-06,Olive Garden,136.9,Dining
2024-06-06,Olive Garden,84.6,Dining
2024-06-06,Target,600.0,Shopping
2024-06-07,Gas Provider,325.23,Utilities
2024-06-07,Uber,114.01,Transport
2024-06-07,Netflix,20.11,Entertainment
2024-06-07,Starbucks,38.87,Dining
2024-06-07,Steam,57.92,Entertainment
2024-06-07,Booking.com,1870.23,Travel
2024-06-07,Electricity Board,292.47,Utilities
2024-06-07,Property Mgmt,2365.4,Housing
2024-06-07,Amazon,53.15,Shopping
2024-06-07,Shell,71.57,Transport
2024-06-08,Booking.com,167.62,Travel
2024-06-08,LabCorp,1325.38,Healthcare
2024-06-08,Comcast,198.61,Utilities
2024-06-08,Walmart,79.36,Groceries
2024-06-08,Marriott,3422.72,Travel
2024-06-08,Amazon,283.54,Shopping
2024-06-08,Udemy,455.86,Education
2024-06-08,Bookstore,408.31,Education
2024-06-08,Housing Society,1977.27,Housing
2024-06-08,Electricity Board,256.67,Utilities
2024-06-09,Trader Joe's,31.0,Groceries
2024-06-09,AMC Theatres,253.34,Entertainment
2024-06-09,City Clinic,1108.6,Healthcare
2024-06-09,Monthly Rent,1653.74,Housing
2024-06-09,Housing Society,1638.76,Housing
2024-06-09,Netflix,21.94,Entertainment
2024-06-09,Best Buy,767.75,Shopping
2024-06-09,Macy's,331.01,Shopping
2024-06-09,CVS Pharmacy,657.16,Healthcare
2024-06-09,Walmart,204.75,Groceries
2024-06-09,Walmart,86.09,Groceries
2024-06-09,Property Mgmt,1465.47,Housing
2024-06-09,Bookstore,156.33,Education
2024-06-09,Walmart,144.19,Groceries
2024-06-09,Marriott,98.21,Travel
2024-06-09,Exam Board,355.6,Education
2024-06-09,Bookstore,1522.24,Education
2024-06-09,Uber,106.53,Transport
2024-06-09,Housing Society,1134.08,Housing
2024-06-09,Coursera,1475.31,Education
2024-06-10,Target,666.25,Shopping
2024-06-10,Steam,30.18,Entertainment
2024-06-10,Health Insurance,541.92,Healthcare
2024-06-10,Comcast,307.08,Utilities
2024-06-10,Health Insurance,645.3,Healthcare
2024-06-10,Steam,226.23,Entertainment
2024-06-10,Booking.com,1131.22,Travel
2024-06-10,Water Utility,174.55,Utilities
2024-06-10,Coursera,1530.98,Education
2024-06-10,Amazon,37.98,Shopping
2024-06-10,Water Utility,358.48,Utilities
2024-06-11,Gas Provider,267.72,Utilities
2024-06-11,CVS Pharmacy,1307.01,Healthcare
2024-06-11,City Clinic,595.54,Healthcare
2024-06-11,Macy's,190.33,Shopping
2024-06-11,Olive Garden,51.22,Dining
2024-06-11,Housing Society,2183.46,Housing
2024-06-11,Exam Board,1710.36,Education
2024-06-11,City Clinic,1159.61,Healthcare
2024-06-11,Health Insurance,299.27,Healthcare
2024-06-11,Health Insurance,513.11,Healthcare
2024-06-11,Health Insurance,294.04,Healthcare
2024-06-11,AMC Theatres,229.23,Entertainment
2024-06-11,Water Utility,80.96,Utilities
2024-06-12,Amazon,463.98,Shopping
2024-06-12,Trader Joe's,26.51,Groceries
2024-06-12,Whole Foods,156.75,Groceries
2024-06-12,Delta Airlines,1117.44,Travel
2024-06-12,Lyft,172.16,Transport
2024-06-12,Gas Provider,278.67,Utilities
2024-06-13,Shell,79.01,Transport
2024-06-13,Amazon,778.34,Shopping
2024-06-13,Water Utility,291.46,Utilities
2024-06-13,Steam,94.7,Entertainment
2024-06-13,Netflix,126.44,Entertainment
2024-06-13,Bookstore,912.5,Education
2024-06-13,Marriott,1436.48,Travel
2024-06-13,Steam,206.98,Entertainment
2024-06-13,Lyft,112.59,Transport
2024-06-13,Booking.com,369.5,Travel
2024-06-13,Marriott,3359.43,Travel
2024-06-13,Booking.com,2106.09,Travel
2024-06-13,Monthly Rent,2076.11,Housing
2024-06-13,Macy's,602.87,Shopping
2024-06-13,Starbucks,29.89,Dining
2024-06-14,Lyft,20.32,Transport
2024-06-14,Shell,8.27,Transport
2024-06-14,CVS Pharmacy,465.06,Healthcare
2024-06-14,CVS Pharmacy,650.39,Healthcare
2024-06-14,Booking.com,2331.4,Travel
2024-06-14,Metro Transit,56.98,Transport
2024-06-14,Whole Foods,269.67,Groceries
2024-06-14,Spotify,150.81,Entertainment
2024-06-14,Bookstore,1396.74,Education
2024-06-15,Coursera,73.52,Education
2024-06-15,Marriott,3351.88,Travel
2024-06-15,Amazon,192.63,Shopping
2024-06-15,Marriott,941.64,Travel
2024-06-15,Booking.com,470.98,Travel
2024-06-15,Chipotle,75.33,Dining
2024-06-15,City Clinic,1211.26,Healthcare
2024-06-15,Monthly Rent,1559.77,Housing
2024-06-16,Booking.com,1555.18,Travel
2024-06-16,Electricity Board,161.87,Utilities
2024-06-16,Housing Society,2248.64,Housing
2024-06-16,Housing Society,1200.37,Housing
2024-06-16,Uber,124.03,Transport
2024-06-16,Trader Joe's,185.22,Groceries
2024-06-16,Monthly Rent,1733.56,Housing
2024-06-16,Best Buy,485.88,Shopping
2024-06-17,Spotify,226.29,Entertainment
2024-06-17,City Clinic,639.26,Healthcare
2024-06-17,McDonald's,154.76,Dining
2024-06-17,Exam Board,612.5,Education
2024-06-17,Costco,66.73,Groceries
2024-06-17,Housing Society,1556.94,Housing
2024-06-17,Netflix,97.65,Entertainment
2024-06-17,Udemy,1578.63,Education
2024-06-17,Udemy,288.6,Education
2024-06-17,Best Buy,734.41,Shopping
2024-06-17,CVS Pharmacy,1285.87,Healthcare
2024-06-18,Electricity Board,292.95,Utilities
2024-06-18,Booking.com,212.64,Travel
2024-06-18,Target,709.05,Shopping
2024-06-18,Amazon,51.54,Shopping
2024-06-18,Marriott,828.42,Travel
2024-06-18,Shell,145.82,Transport
2024-06-18,AMC Theatres,124.85,Entertainment
2024-06-18,Lyft,11.43,Transport
2024-06-18,Health Insurance,610.15,Healthcare
2024-06-18,Costco,53.19,Groceries
2024-06-18,Olive Garden,156.4,Dining
2024-06-18,AMC Theatres,147.86,Entertainment
2024-06-18,Water Utility,182.06,Utilities
2024-06-19,Monthly Rent,1512.4,Housing
2024-06-19,Spotify,120.53,Entertainment
2024-06-19,Olive Garden,53.99,Dining
2024-06-19,Walmart,78.3,Groceries
2024-06-19,Uber,140.7,Transport
2024-06-19,Steam,193.71,Entertainment
2024-06-19,City Clinic,594.56,Healthcare
2024-06-19,Electricity Board,204.31,Utilities
2024-06-19,CVS Pharmacy,87.29,Healthcare
2024-06-19,Property Mgmt,1988.3,Housing
2024-06-19,Udemy,878.53,Education
2024-06-20,Gas Provider,117.2,Utilities
2024-06-20,Macy's,543.57,Shopping
2024-06-20,Marriott,331.38,Travel
2024-06-20,City Clinic,371.86,Healthcare
2024-06-20,Walmart,102.6,Groceries
2024-06-20,Whole Foods,88.4,Groceries
2024-06-20,AMC Theatres,222.71,Entertainment
2024-06-20,Health Insurance,459.83,Healthcare
2024-06-20,CVS Pharmacy,839.73,Healthcare
2024-06-20,Electricity Board,38.16,Utilities
2024-06-21,Amazon,729.84,Shopping
2024-06-21,Property Mgmt,1070.1,Housing
2024-06-21,Whole Foods,180.97,Groceries
2024-06-21,Olive Garden,126.45,Dining
2024-06-21,Housing Society,1011.35,Housing
2024-06-21,Lyft,110.88,Transport
2024-06-21,Housing Society,2335.12,Housing
2024-06-21,LabCorp,1306.68,Healthcare
2024-06-21,City Clinic,1327.78,Healthcare
2024-06-21,City Clinic,1153.95,Healthcare
2024-06-21,Water Utility,265.06,Utilities
2024-06-22,Marriott,845.51,Travel
2024-06-22,Starbucks,52.93,Dining
2024-06-22,Electricity Board,168.8,Utilities
2024-06-22,Comcast,55.81,Utilities
2024-06-22,Udemy,1760.88,Education
2024-06-22,Electricity Board,96.12,Utilities
2024-06-22,Electricity Board,161.52,Utilities
2024-06-22,Coursera,457.45,Education
2024-06-22,Water Utility,287.33,Utilities
2024-06-22,Airbnb,1585.33,Travel
2024-06-22,Booking.com,981.75,Travel
2024-06-23,Walmart,32.65,Groceries
2024-06-23,Delta Airlines,2128.98,Travel
2024-06-23,Chipotle,27.25,Dining
2024-06-23,Whole Foods,85.37,Groceries
2024-06-23,Electricity Board,232.08,Utilities
2024-06-23,Lyft,175.51,Transport
2024-06-23,AMC Theatres,69.97,Entertainment
2024-06-23,CVS Pharmacy,700.78,Healthcare
2024-06-23,Whole Foods,94.78,Groceries
2024-06-23,Macy's,463.27,Shopping
2024-06-23,Housing Society,1280.96,Housing
2024-06-23,Comcast,141.31,Utilities
2024-06-24,Trader Joe's,39.74,Groceries
2024-06-24,Booking.com,1231.0,Travel
2024-06-24,Metro Transit,160.58,Transport
2024-06-24,Macy's,28.24,Shopping
2024-06-24,City Clinic,1217.06,Healthcare
2024-06-24,Delta Airlines,1425.41,Travel
2024-06-24,Target,461.59,Shopping
2024-06-24,Electricity Board,61.35,Utilities
2024-06-24,Delta Airlines,3473.06,Travel
2024-06-25,Gas Provider,176.29,Utilities
2024-06-25,Monthly Rent,1981.51,Housing
2024-06-25,Delta Airlines,2239.33,Travel
2024-06-25,Bookstore,1307.15,Education
2024-06-25,Amazon,466.23,Shopping
2024-06-25,Costco,203.8,Groceries
2024-06-25,Best Buy,577.64,Shopping
2024-06-25,Booking.com,701.71,Travel
2024-06-25,Metro Transit,41.11,Transport
2024-06-25,LabCorp,1965.96,Healthcare
2024-06-26,Health Insurance,997.51,Healthcare
2024-06-26,Best Buy,626.39,Shopping
2024-06-26,Delta Airlines,480.85,Travel
2024-06-26,Olive Garden,42.91,Dining
2024-06-26,Marriott,1419.82,Travel
2024-06-27,Uber,11.0,Transport
2024-06-27,City Clinic,1483.69,Healthcare
2024-06-27,Olive Garden,110.96,Dining
2024-06-27,Macy's,480.3,Shopping
2024-06-27,Macy's,276.3,Shopping
2024-06-28,Coursera,1110.27,Education
2024-06-28,Lyft,147.44,Transport
2024-06-28,Airbnb,2951.05,Travel
2024-06-28,CVS Pharmacy,747.24,Healthcare
2024-06-28,Macy's,580.83,Shopping
2024-06-28,Property Mgmt,1486.74,Housing
2024-06-28,LabCorp,382.65,Healthcare
2024-06-28,Uber,42.08,Transport
2024-06-29,Udemy,1467.39,Education
2024-06-29,Trader Joe's,108.51,Groceries
2024-06-29,Walmart,271.09,Groceries
2024-06-29,CVS Pharmacy,1356.55,Healthcare
2024-06-29,Health Insurance,1354.19,Healthcare
